#PTM ID	Entrez Gene ID	BioGRID ID	Systematic Name	Official Symbol	Synonymns	Relationship	Identity	Author	Pubmed ID	Organism ID	Organism Name	Source Database
677475	7316	113164	-	UBC	HMG20	-	PTM	Lee YS (2008)	18448069	9606	Homo sapiens	BIOGRID
677476	7316	113164	-	UBC	HMG20	-	PTM	Lee YS (2008)	18448069	9606	Homo sapiens	BIOGRID
677477	7316	113164	-	UBC	HMG20	-	PTM	He KL (2008)	18434302	9606	Homo sapiens	BIOGRID
677478	7316	113164	-	UBC	HMG20	-	PTM	Maezawa S (2008)	18429817	9606	Homo sapiens	BIOGRID
677479	7316	113164	-	UBC	HMG20	-	PTM	Maezawa S (2008)	18429817	9606	Homo sapiens	BIOGRID
677480	7316	113164	-	UBC	HMG20	-	PTM	Roukens MG (2008)	18426905	9606	Homo sapiens	BIOGRID
677481	7316	113164	-	UBC	HMG20	-	PTM	Park YK (2008)	18426857	9606	Homo sapiens	BIOGRID
677482	7316	113164	-	UBC	HMG20	-	PTM	Bellare P (2008)	18425143	9606	Homo sapiens	BIOGRID
677484	7316	113164	-	UBC	HMG20	-	PTM	Pagano M (2008)	18407463	9606	Homo sapiens	BIOGRID
677485	7316	113164	-	UBC	HMG20	-	PTM	Nishioka C (2008)	18394702	9606	Homo sapiens	BIOGRID
677486	7316	113164	-	UBC	HMG20	-	PTM	Yang W (2008)	18382127	9606	Homo sapiens	BIOGRID
677487	7316	113164	-	UBC	HMG20	-	PTM	Yang W (2008)	18382127	9606	Homo sapiens	BIOGRID
677488	7316	113164	-	UBC	HMG20	-	PTM	Yang W (2008)	18382127	9606	Homo sapiens	BIOGRID
677489	7316	113164	-	UBC	HMG20	-	PTM	Abrami L (2008)	18378904	9606	Homo sapiens	BIOGRID
677490	7316	113164	-	UBC	HMG20	-	PTM	Dufour C (2008)	18374639	9606	Homo sapiens	BIOGRID
677491	7316	113164	-	UBC	HMG20	-	PTM	Gao B (2008)	18369366	9606	Homo sapiens	BIOGRID
677492	7316	113164	-	UBC	HMG20	-	PTM	Zhou F (2008)	18367454	9606	Homo sapiens	BIOGRID
677493	7316	113164	-	UBC	HMG20	-	PTM	Ogawa M (2008)	18363970	9606	Homo sapiens	BIOGRID
677494	7316	113164	-	UBC	HMG20	-	PTM	Ogawa M (2008)	18363970	9606	Homo sapiens	BIOGRID
677495	7316	113164	-	UBC	HMG20	-	PTM	Amsel AD (2008)	18362350	9606	Homo sapiens	BIOGRID
677496	7316	113164	-	UBC	HMG20	-	PTM	Abe Y (2008)	18359851	9606	Homo sapiens	BIOGRID
677497	7316	113164	-	UBC	HMG20	-	PTM	Patel R (2008)	18358244	9606	Homo sapiens	BIOGRID
677498	7316	113164	-	UBC	HMG20	-	PTM	Patel R (2008)	18358244	9606	Homo sapiens	BIOGRID
677499	7316	113164	-	UBC	HMG20	-	PTM	Lagirand-Cantaloube J (2008)	18354498	9606	Homo sapiens	BIOGRID
677500	7316	113164	-	UBC	HMG20	-	PTM	Hochrainer K (2008)	18535780	9606	Homo sapiens	BIOGRID
677501	7316	113164	-	UBC	HMG20	-	PTM	Yoshimura SH (2008)	18522992	9606	Homo sapiens	BIOGRID
677502	7316	113164	-	UBC	HMG20	-	PTM	Hitotsumatsu O (2008)	18342009	9606	Homo sapiens	BIOGRID
677503	7316	113164	-	UBC	HMG20	-	PTM	Conze DB (2008)	18347055	9606	Homo sapiens	BIOGRID
677504	7316	113164	-	UBC	HMG20	-	PTM	Conze DB (2008)	18347055	9606	Homo sapiens	BIOGRID
677505	7316	113164	-	UBC	HMG20	-	PTM	Kang SI (2008)	18348865	9606	Homo sapiens	BIOGRID
677507	7316	113164	-	UBC	HMG20	-	PTM	Sundvall M (2008)	18334649	9606	Homo sapiens	BIOGRID
677508	7316	113164	-	UBC	HMG20	-	PTM	Huang J (2008)	18332868	9606	Homo sapiens	BIOGRID
677509	7316	113164	-	UBC	HMG20	-	PTM	Pohl C (2008)	18329369	9606	Homo sapiens	BIOGRID
677510	7316	113164	-	UBC	HMG20	-	PTM	Xiao H (2008)	18326498	9606	Homo sapiens	BIOGRID
677511	7316	113164	-	UBC	HMG20	-	PTM	Xiao H (2008)	18326498	9606	Homo sapiens	BIOGRID
677512	7316	113164	-	UBC	HMG20	-	PTM	Xiao H (2008)	18326498	9606	Homo sapiens	BIOGRID
677513	7316	113164	-	UBC	HMG20	-	PTM	Xiao H (2008)	18326498	9606	Homo sapiens	BIOGRID
677514	7316	113164	-	UBC	HMG20	-	PTM	Carlucci A (2008)	18323779	9606	Homo sapiens	BIOGRID
677515	7316	113164	-	UBC	HMG20	-	PTM	Raikwar NS (2008)	18322022	9606	Homo sapiens	BIOGRID
677516	7316	113164	-	UBC	HMG20	-	PTM	Raikwar NS (2008)	18322022	9606	Homo sapiens	BIOGRID
677517	7316	113164	-	UBC	HMG20	-	PTM	Raikwar NS (2008)	18322022	9606	Homo sapiens	BIOGRID
677518	7316	113164	-	UBC	HMG20	-	PTM	Calvisi DF (2008)	18519678	9606	Homo sapiens	BIOGRID
677519	7316	113164	-	UBC	HMG20	-	PTM	Chung HY (2008)	18321968	9606	Homo sapiens	BIOGRID
677520	7316	113164	-	UBC	HMG20	-	PTM	Tanaka Y (2008)	18519587	9606	Homo sapiens	BIOGRID
677521	7316	113164	-	UBC	HMG20	-	PTM	Tanaka Y (2008)	18519587	9606	Homo sapiens	BIOGRID
677522	7316	113164	-	UBC	HMG20	-	PTM	Choi JW (2008)	18319061	9606	Homo sapiens	BIOGRID
677523	7316	113164	-	UBC	HMG20	-	PTM	Ohbayashi N (2008)	18515077	9606	Homo sapiens	BIOGRID
677524	7316	113164	-	UBC	HMG20	-	PTM	Unk I (2008)	18316726	9606	Homo sapiens	BIOGRID
677525	7316	113164	-	UBC	HMG20	-	PTM	Pennock S (2008)	18316398	9606	Homo sapiens	BIOGRID
677526	7316	113164	-	UBC	HMG20	-	PTM	Sugiura T (2008)	18313049	9606	Homo sapiens	BIOGRID
677527	7316	113164	-	UBC	HMG20	-	PTM	Sugiura T (2008)	18313049	9606	Homo sapiens	BIOGRID
677528	7316	113164	-	UBC	HMG20	-	PTM	Yamauchi K (2008)	18312418	9606	Homo sapiens	BIOGRID
677529	7316	113164	-	UBC	HMG20	-	PTM	Yamauchi K (2008)	18312418	9606	Homo sapiens	BIOGRID
677530	7316	113164	-	UBC	HMG20	-	PTM	Zhang Z (2008)	18309296	9606	Homo sapiens	BIOGRID
677531	7316	113164	-	UBC	HMG20	-	PTM	Umebayashi K (2008)	18508924	9606	Homo sapiens	BIOGRID
677532	7316	113164	-	UBC	HMG20	-	PTM	Le Negrate G (2008)	18503636	9606	Homo sapiens	BIOGRID
677534	7316	113164	-	UBC	HMG20	-	PTM	Stolfi C (2008)	18495657	9606	Homo sapiens	BIOGRID
677535	7316	113164	-	UBC	HMG20	-	PTM	Seo SR (2008)	18485898	9606	Homo sapiens	BIOGRID
677536	7316	113164	-	UBC	HMG20	-	PTM	Kim BY (2008)	18305400	9606	Homo sapiens	BIOGRID
677537	7316	113164	-	UBC	HMG20	-	PTM	Winton MJ (2008)	18305110	9606	Homo sapiens	BIOGRID
677538	7316	113164	-	UBC	HMG20	-	PTM	Tatematsu K (2008)	18303026	9606	Homo sapiens	BIOGRID
677539	7316	113164	-	UBC	HMG20	-	PTM	Rondou P (2008)	18303015	9606	Homo sapiens	BIOGRID
677540	7316	113164	-	UBC	HMG20	-	PTM	Ma Q (2008)	18299187	9606	Homo sapiens	BIOGRID
677541	7316	113164	-	UBC	HMG20	-	PTM	Ma Q (2008)	18299187	9606	Homo sapiens	BIOGRID
677542	7316	113164	-	UBC	HMG20	-	PTM	Zheng L (2008)	18298802	9606	Homo sapiens	BIOGRID
677543	7316	113164	-	UBC	HMG20	-	PTM	Schmid T (2008)	18296647	9606	Homo sapiens	BIOGRID
677544	7316	113164	-	UBC	HMG20	-	PTM	Dickey CA (2008)	18292230	9606	Homo sapiens	BIOGRID
677545	7316	113164	-	UBC	HMG20	-	PTM	Dickey CA (2008)	18292230	9606	Homo sapiens	BIOGRID
677546	7316	113164	-	UBC	HMG20	-	PTM	Malakhova OA (2008)	18287095	9606	Homo sapiens	BIOGRID
677547	7316	113164	-	UBC	HMG20	-	PTM	Wu CJ (2008)	18287044	9606	Homo sapiens	BIOGRID
677548	7316	113164	-	UBC	HMG20	-	PTM	Mikhaylova O (2008)	18285459	9606	Homo sapiens	BIOGRID
677549	7316	113164	-	UBC	HMG20	-	PTM	Brun J (2008)	18284681	9606	Homo sapiens	BIOGRID
677551	7316	113164	-	UBC	HMG20	-	PTM	Fukuba H (2008)	18280659	9606	Homo sapiens	BIOGRID
677552	7316	113164	-	UBC	HMG20	-	PTM	Panasyuk G (2008)	18279656	9606	Homo sapiens	BIOGRID
677553	7316	113164	-	UBC	HMG20	-	PTM	Zhou Y (2008)	18276110	9606	Homo sapiens	BIOGRID
677554	7316	113164	-	UBC	HMG20	-	PTM	Dohmesen C (2008)	18264029	9606	Homo sapiens	BIOGRID
677555	7316	113164	-	UBC	HMG20	-	PTM	He Y (2008)	18260827	9606	Homo sapiens	BIOGRID
677556	7316	113164	-	UBC	HMG20	-	PTM	Al-Hakim AK (2008)	18254724	9606	Homo sapiens	BIOGRID
677557	7316	113164	-	UBC	HMG20	-	PTM	Al-Hakim AK (2008)	18254724	9606	Homo sapiens	BIOGRID
677559	7316	113164	-	UBC	HMG20	-	PTM	Moore DJ (2008)	18248624	9606	Homo sapiens	BIOGRID
677560	7316	113164	-	UBC	HMG20	-	PTM	Tomida J (2008)	18245774	9606	Homo sapiens	BIOGRID
677561	7316	113164	-	UBC	HMG20	-	PTM	Didelot C (2008)	18239673	9606	Homo sapiens	BIOGRID
677562	7316	113164	-	UBC	HMG20	-	PTM	Sekine K (2008)	18230607	9606	Homo sapiens	BIOGRID
677563	7316	113164	-	UBC	HMG20	-	PTM	Koyama S (2008)	18222470	9606	Homo sapiens	BIOGRID
677564	7316	113164	-	UBC	HMG20	-	PTM	Koyama S (2008)	18222470	9606	Homo sapiens	BIOGRID
677565	7316	113164	-	UBC	HMG20	-	PTM	Koyama S (2008)	18222470	9606	Homo sapiens	BIOGRID
677566	7316	113164	-	UBC	HMG20	-	PTM	Li JG (2008)	18212250	9606	Homo sapiens	BIOGRID
677567	7316	113164	-	UBC	HMG20	-	PTM	Bai S (2008)	18212060	9606	Homo sapiens	BIOGRID
677568	7316	113164	-	UBC	HMG20	-	PTM	Yamaguchi K (2008)	18208356	9606	Homo sapiens	BIOGRID
